Date,Monthly Listeners
11-18-2022,12279974
11-19-2022,12336180
11-20-2022,12387211
11-21-2022,12413609
11-22-2022,12423053
11-23-2022,12437843
11-24-2022,12466733
11-25-2022,12496896
11-26-2022,12565275
11-27-2022,12659309
11-28-2022,12767455
11-29-2022,12877151
11-30-2022,13000958
12-01-2022,13130192
12-02-2022,13258342
12-03-2022,13414304
12-04-2022,13615719
12-05-2022,13814196
12-06-2022,13991292
12-07-2022,14124570
12-08-2022,14291837
12-09-2022,14498083
12-10-2022,14700515
12-11-2022,14924628
12-12-2022,15116147
12-13-2022,15286738
12-14-2022,15438587
12-15-2022,15634853
12-16-2022,15813120
12-17-2022,16008970
12-18-2022,16252176
12-19-2022,16457458
12-20-2022,16667655
12-21-2022,16872658
12-22-2022,17080095
12-23-2022,17329979
12-24-2022,17642573
12-25-2022,18190988
12-26-2022,18581433
12-27-2022,18719490
12-28-2022,18799046
12-29-2022,18861504
12-30-2022,18905912
12-31-2022,18950089
01-01-2023,19022173
01-02-2023,18998736
01-03-2023,18975145
01-04-2023,18987894
01-05-2023,18987712
01-06-2023,18942192
01-07-2023,18884331
01-08-2023,18821345
01-09-2023,18756975
01-10-2023,18721213
01-11-2023,18703594
01-12-2023,18713584
01-13-2023,19262876
01-14-2023,19885572
01-15-2023,20390177
01-16-2023,20832381
01-17-2023,21252534
01-18-2023,21686616
01-19-2023,22425403
01-20-2023,23036910
01-21-2023,23656866
01-22-2023,24003832
01-23-2023,24554689
01-24-2023,25403727
01-25-2023,26337070
01-26-2023,27121227
01-27-2023,27412040
01-28-2023,27713498
01-29-2023,27927423
01-30-2023,28152107
01-31-2023,28392169
02-01-2023,28614205
02-02-2023,28818272
02-03-2023,29011460
02-04-2023,29196857
02-05-2023,29379250
02-06-2023,29534903
02-07-2023,29696487
02-08-2023,29858557
02-09-2023,29986042
02-10-2023,29887523
02-11-2023,29658106
02-12-2023,29458484
02-13-2023,29272417
02-14-2023,29065083
02-15-2023,28866987
02-16-2023,28417004
02-17-2023,27964956
02-18-2023,27424626
02-19-2023,26872954
02-20-2023,26163137
02-21-2023,25417865
02-22-2023,23793524
02-23-2023,23793524
02-24-2023,23635493
02-25-2023,23486276
02-26-2023,23354689
02-27-2023,23271773
02-28-2023,23179926
03-01-2023,23106318
03-02-2023,23016114
03-03-2023,22930969
03-04-2023,22865377
03-05-2023,22815514
03-06-2023,22788407
03-07-2023,22739648
03-08-2023,22688239
03-09-2023,22652079
03-10-2023,22606226
03-11-2023,22584586
03-12-2023,22550317
03-13-2023,22529605
03-14-2023,22524921
03-15-2023,22472704
03-16-2023,22472704
03-17-2023,22463771
03-18-2023,22642621
03-19-2023,22741949
03-20-2023,22824192
03-21-2023,22891609
03-22-2023,23005660
03-23-2023,23005660
03-24-2023,23094677
03-25-2023,23181125
03-26-2023,23256119
03-27-2023,23327589
03-28-2023,23398211
03-29-2023,23452672
03-30-2023,23520592
03-31-2023,23593126
04-01-2023,23654842
04-02-2023,23710116
04-03-2023,23754505
04-04-2023,23815700
04-05-2023,23897122
04-06-2023,23960890
04-07-2023,23995623
04-08-2023,24043723
04-09-2023,24079358
04-10-2023,24102086
04-11-2023,24159312
04-12-2023,24207136
04-13-2023,24234959
04-14-2023,24245686
04-15-2023,24175288
04-16-2023,24133372
04-17-2023,24077854
04-18-2023,24074367
04-19-2023,24055949
04-20-2023,24015401
04-21-2023,23982244
04-22-2023,23976906
04-23-2023,23950011
04-24-2023,23896451
04-25-2023,23889432
04-26-2023,23871025
04-27-2023,23871435
04-28-2023,23858684
04-29-2023,23867107
04-30-2023,23869034
05-01-2023,23870538
05-02-2023,23874615
05-03-2023,23824457
05-04-2023,23824457
05-05-2023,23827373
05-06-2023,23857655
05-07-2023,23855716
05-08-2023,23841834
05-09-2023,23818417
05-10-2023,23760763
05-11-2023,23728873
05-12-2023,23745800
05-13-2023,23740468
05-14-2023,23746164
05-15-2023,23737415
05-16-2023,23721279
05-17-2023,23710600
05-18-2023,23710600
05-19-2023,23721248
05-20-2023,23701886
05-21-2023,23713851
05-22-2023,23723237
05-23-2023,23719323
05-24-2023,23704050
05-25-2023,23704050
05-26-2023,23704273
05-27-2023,23712199
05-28-2023,23727087
05-29-2023,23727108
05-30-2023,23731029
05-31-2023,23762927
06-01-2023,23762927
06-02-2023,23757318
06-03-2023,23710861
06-04-2023,23688752
06-05-2023,23688752
06-06-2023,23660108
06-07-2023,23630783
06-08-2023,23630783
06-09-2023,23583347
06-10-2023,23541242
06-11-2023,23497886
06-12-2023,23471753
06-13-2023,23450814
06-14-2023,23431910
06-15-2023,23377550
06-16-2023,23303027
06-17-2023,23261167
06-18-2023,23241380
06-19-2023,23198812
06-20-2023,23174716
06-21-2023,23157313
06-22-2023,23157313
06-23-2023,23144213
06-24-2023,23098350
06-25-2023,23040073
06-26-2023,22968330
06-27-2023,22903571
06-28-2023,22741009
06-29-2023,22741009
06-30-2023,22700090
07-01-2023,22692514
07-02-2023,22682429
07-03-2023,22654246
07-04-2023,22664932
07-05-2023,22664932
07-06-2023,22604448
07-07-2023,22589745
07-08-2023,22572846
07-09-2023,22571846
07-10-2023,22551163
07-11-2023,22520638
07-12-2023,22543121
07-13-2023,22543121
07-14-2023,22586413
07-15-2023,22594395
07-16-2023,22601676
07-17-2023,22612549
07-18-2023,22631778
07-19-2023,22637440
07-20-2023,22646022
07-21-2023,22657895
07-22-2023,22686413
07-23-2023,22739409
07-24-2023,22772588
07-25-2023,22824995
07-26-2023,22900504
07-27-2023,22977894
07-28-2023,23054530
07-29-2023,23105561
07-30-2023,23157331
07-31-2023,23193939
08-01-2023,23301350
08-02-2023,23301350
08-03-2023,23367476
08-04-2023,23402086
08-05-2023,23456225
08-06-2023,23515833
08-07-2023,23582812
08-08-2023,23629153
08-09-2023,23651299
08-10-2023,23670380
08-11-2023,23680096
